1A00;1A16
1A17;1A18
1A19;1A1A
1A1B;
1A20;1A54
1A55;
1A56;
1A57;
1A58;1A5E
1A60;
1A61;
1A62;
1A63;1A64
1A65;1A6C
1A6D;1A72
1A73;1A7C
1A7F;
1A80;1A89
1A90;1A99
1AA7;
1AB0;1ABD
1ABF;1ADD
1AE0;1AEB
1B00;1B03
1B04;
1B05;1B33
1B34;
1B35;
1B36;1B3A
1B3B;
1B3C;
1B3D;1B41
1B42;
1B43;1B44
1B45;1B4C
1B50;1B59
1B6B;1B73
1B80;1B81
1B82;
1B83;1BA0
1BA1;
1BA2;1BA5
1BA6;1BA7
1BA8;1BA9
1BAA;
1BAB;1BAD
1BAE;1BAF
1BB0;1BB9
1BBA;1BE5
1BE6;
1BE7;
1BE8;1BE9
1BEA;1BEC
1BED;
1BEE;
1BEF;1BF1
1BF2;1BF3
1C00;1C23
1C24;1C2B
1C2C;1C33
1C34;1C35
1C36;1C37
1C40;1C49
1C4D;1C4F
1C50;1C59
1C5A;1C77
1C78;1C7D
1C80;1C8A
1C90;1CBA
1CBD;1CBF
1CD0;1CD2
1CD4;1CE0
1CE1;
1CE2;1CE8
1CE9;1CEC
1CED;
1CEE;1CF3
1CF4;
1CF5;1CF6
1CF7;
1CF8;1CF9
1CFA;
1D00;1D2B
1D2C;1D6A
1D6B;1D77
1D78;
1D79;1D9A
1D9B;1DBF
1DC0;1DFF
1E00;1F15
1F18;1F1D
1F20;1F45
1F48;1F4D
1F50;1F57
1F59;
1F5B;
1F5D;
1F5F;1F7D
1F80;1FB4
1FB6;1FBC
1FBE;
1FC2;1FC4
1FC6;1FCC
1FD0;1FD3
1FD6;1FDB
1FE0;1FEC
1FF2;1FF4
1FF6;1FFC
200C;200D
203F;2040
2054;
2071;
207F;
2090;209C
20D0;20DC
20E1;
20E5;20F0
2102;
2107;
210A;2113
2115;
2118;
2119;211D
2124;
2126;
2128;
212A;212D
212E;
212F;2134
2135;2138
2139;
213C;213F
2145;2149
214E;
2160;2182
2183;2184
2185;2188
2C00;2C7B
2C7C;2C7D
2C7E;2CE4
2CEB;2CEE
2CEF;2CF1
2CF2;2CF3
2D00;2D25
2D27;
2D2D;
2D30;2D67
2D6F;
2D7F;
2D80;2D96
2DA0;2DA6
2DA8;2DAE
2DB0;2DB6
2DB8;2DBE
2DC0;2DC6
2DC8;2DCE
2DD0;2DD6
2DD8;2DDE
2DE0;2DFF
3005;
3006;
3007;
3021;3029
302A;302D
302E;302F
3031;3035
3038;303A
303B;
303C;
3041;3096
3099;309A
309B;309C
309D;309E
309F;
30A1;30FA
30FB;
30FC;30FE
30FF;
3105;312F
3131;318E
31A0;31BF
31F0;31FF
3400;4DBF
4E00;A014
A015;
A016;A48C
A4D0;A4F7
A4F8;A4FD
A500;A60B
A60C;
A610;A61F
A620;A629
A62A;A62B
A640;A66D
A66E;
A66F;
A674;A67D
A67F;
A680;A69B
A69C;A69D
A69E;A69F
A6A0;A6E5
A6E6;A6EF
A6F0;A6F1
A717;A71F
A722;A76F
A770;
A771;A787
